Year,Month,Air,GDP,ServiceIndustry,Population,MigrantWorker,Tourist
2005,1,900,13484.43333,0.479807581,130064,7.37,103000
2005,2,1000,13484.43333,0.479807581,130121.6667,7.384166667,104516.6667
2005,3,1000,13484.43333,0.479807581,130179.3333,7.398333333,106033.3333
2005,4,1100,14931.03333,0.42258071,130237,7.4125,107550
2005,5,1100,14931.03333,0.42258071,130294.6667,7.426666667,109066.6667
2005,6,1100,14931.03333,0.42258071,130352.3333,7.440833333,110583.3333
2005,7,1300,16015.93333,0.390142733,130410,7.455,112100
2005,8,1300,16015.93333,0.390142733,130467.6667,7.469166667,113616.6667
2005,9,1200,16015.93333,0.390142733,130525.3333,7.483333333,115133.3333
2005,10,1300,18008.26667,0.376564096,130583,7.4975,116650
2005,11,1200,18008.26667,0.376564096,130640.6667,7.511666667,118166.6667
2005,12,1100,18008.26667,0.376564096,130756,7.54,121200
2006,1,1100,15692.96667,0.481052021,130813.6667,7.554166667,122716.6667
2006,2,1100,15692.96667,0.481052021,130871.3333,7.568333333,124233.3333
2006,3,1300,15692.96667,0.481052021,130929,7.5825,125750
2006,4,1400,17557.76667,0.424273778,130986.6667,7.596666667,127266.6667
2006,5,1300,17557.76667,0.424273778,131044.3333,7.610833333,128783.3333
2006,6,1200,17557.76667,0.424273778,131102,7.625,130300
2006,7,1500,18688.23333,0.395789151,131159.6667,7.639166667,131816.6667
2006,8,1600,18688.23333,0.395789151,131217.3333,7.653333333,133333.3333
2006,9,1400,18688.23333,0.395789151,131275,7.6675,134850
2006,10,1500,21207.2,0.386260327,131332.6667,7.681666667,136366.6667
2006,11,1322,21207.2,0.386260327,131390.3333,7.695833333,137883.3333
2006,12,1200,21207.2,0.386260327,131448,7.71,139400
2007,1,1200,19053.1,0.484654291,131504.75,7.7175,141200
2007,2,1364,19053.1,0.484654291,131561.5,7.725,143000
2007,3,1483,19053.1,0.484654291,131618.25,7.7325,144800
2007,4,1563,21593.86667,0.43445361,131675,7.74,146600
2007,5,1500,21593.86667,0.43445361,131731.75,7.7475,148400
2007,6,1500,21593.86667,0.43445361,131788.5,7.755,150200
2007,7,1745,23160.7,0.40972567,131845.25,7.7625,152000
2007,8,1821,23160.7,0.40972567,131902,7.77,153800
2007,9,1625,23160.7,0.40972567,131958.75,7.7775,155600
2007,10,1684,26223.1,0.400014999,132015.5,7.785,157400
2007,11,1531,26223.1,0.400014999,132072.25,7.7925,159200
2007,12,1443,26223.1,0.400014999,132129,7.8,161000
2008,1,1500,23124.53333,0.481341605,132185.0833,7.814166667,161850
2008,2,1502,23124.53333,0.481341605,132241.1667,7.828333333,162700
2008,3,1581,23124.53333,0.481341605,132297.25,7.8425,163550
2008,4,1659,26237.26667,0.427275199,132353.3333,7.856666667,164400
2008,5,1536,26237.26667,0.427275199,132409.4167,7.870833333,165250
2008,6,1417,26237.26667,0.427275199,132465.5,7.885,166100
2008,7,1718,27486.7,0.409157884,132521.5833,7.899166667,166950
2008,8,1596,27486.7,0.409157884,132577.6667,7.913333333,167800
2008,9,1641,27486.7,0.409157884,132633.75,7.9275,168650
2008,10,1834,29566.33333,0.406552498,132689.8333,7.941666667,169500
2008,11,1700,29566.33333,0.406552498,132745.9167,7.955833333,170350
2008,12,1567,29566.33333,0.406552498,132802,7.97,171200
2009,1,1748,24659.73333,0.501016502,132856,8.018333333,172783.3333
2009,2,1702,24659.73333,0.501016502,132910,8.066666667,174366.6667
2009,3,1800,24659.73333,0.501016502,132964,8.115,175950
2009,4,1883,27955.26667,0.44855233,133018,8.163333333,177533.3333
2009,5,1882,27955.26667,0.44855233,133072,8.211666667,179116.6667
2009,6,1771,27955.26667,0.44855233,133126,8.26,180700
2009,7,2103,29948.96667,0.428934109,133180,8.308333333,182283.3333
2009,8,2264,29948.96667,0.428934109,133234,8.356666667,183866.6667
2009,9,1931,29948.96667,0.428934109,133288,8.405,185450
2009,10,2171,33608.6,0.412005657,133342,8.453333333,187033.3333
2009,11,1958,33608.6,0.412005657,133396,8.501666667,188616.6667
2009,12,1875,33608.6,0.412005657,133450,8.55,190200
2010,1,1941,29167.1,0.494965218,133503.4167,8.5975,191875
2010,2,2025,29167.1,0.494965218,133556.8333,8.645,193550
2010,3,2173,29167.1,0.494965218,133610.25,8.6925,195225
2010,4,2157,33115.8,0.44428742,133663.6667,8.74,196900
2010,5,2153,33115.8,0.44428742,133717.0833,8.7875,198575
2010,6,2185,33115.8,0.44428742,133770.5,8.835,200250
2010,7,2547,35321.23333,0.428662835,133823.9167,8.8825,201925
2010,8,2600,35321.23333,0.428662835,133877.3333,8.93,203600
2010,9,2260,35321.23333,0.428662835,133930.75,8.9775,205275
2010,10,2448,39768.93333,0.41227407,133984.1667,9.025,206950
2010,11,2078,39768.93333,0.41227407,134037.5833,9.0725,208625
2010,12,2103,39768.93333,0.41227407,134091,9.12,210300
2011,1,2267,34823.3,0.494709002,134144.6667,9.136666667,214783.3333
2011,2,2163,34823.3,0.494709002,134198.3333,9.153333333,219266.6667
2011,3,2282,34823.3,0.494709002,134252,9.17,223750
2011,4,2437,39631.96667,0.444656208,134305.6667,9.186666667,228233.3333
2011,5,2407,39631.96667,0.444656208,134359.3333,9.203333333,232716.6667
2011,6,2325,39631.96667,0.444656208,134413,9.22,237200
2011,7,2660,42187.4,0.427324272,134466.6667,9.236666667,241683.3333
2011,8,2758,42187.4,0.427324272,134520.3333,9.253333333,246166.6667
2011,9,2501,42187.4,0.427324272,134574,9.27,250650
2011,10,2638,46004.03333,0.416535217,134627.6667,9.286666667,255133.3333
2011,11,2371,46004.03333,0.416535217,134681.3333,9.303333333,259616.6667
2011,12,2300,46004.03333,0.416535217,134735,9.32,264100
2012,1,2567,39119.2,0.499279978,134790.75,9.356666667,266733.3333
2012,2,2349,39119.2,0.499279978,134846.5,9.393333333,269366.6667
2012,3,2503,39119.2,0.499279978,134902.25,9.43,272000
2012,4,2605,43773.53333,0.456708239,134958,9.466666667,274633.3333
2012,5,2540,43773.53333,0.456708239,135013.75,9.503333333,277266.6667
2012,6,2530,43773.53333,0.456708239,135069.5,9.54,279900
2012,7,2995,46029.86667,0.443019605,135125.25,9.576666667,282533.3333
2012,8,3071,46029.86667,0.443019605,135181,9.613333333,285166.6667
2012,9,2744,46029.86667,0.443019605,135236.75,9.65,287800
2012,10,2829,50604,0.428861355,135292.5,9.686666667,290433.3333
2012,11,2584,50604,0.428861355,135348.25,9.723333333,293066.6667
2012,12,2563,50604,0.428861355,135404,9.76,295700
2013,1,2567,43149.86667,0.515398271,135459.6667,9.805833333,298241.6667
2013,2,2787,43149.86667,0.515398271,135515.3333,9.851666667,300783.3333
2013,3,2878,43149.86667,0.515398271,135571,9.8975,303325
2013,4,2849,47839.56667,0.47378913,135626.6667,9.943333333,305866.6667
2013,5,2855,47839.56667,0.47378913,135682.3333,9.989166667,308408.3333
2013,6,2865,47839.56667,0.47378913,135738,10.035,310950
2013,7,3266,50740.9,0.45701331,135793.6667,10.08083333,313491.6667
2013,8,3476,50740.9,0.45701331,135849.3333,10.12666667,316033.3333
2013,9,3049,50740.9,0.45701331,135905,10.1725,318575
2013,10,3165,55924.1,0.439259043,135960.6667,10.21833333,321116.6667
2013,11,2851,55924.1,0.439259043,136016.3333,10.26416667,323658.3333
2013,12,2793,55924.1,0.439259043,136072,10.31,326200
2014,1,3058,46756.73333,0.526902364,136131.1667,10.3825,329108.3333
2014,2,3109,46756.73333,0.526902364,136190.3333,10.455,332016.6667
2014,3,3025,46756.73333,0.526902364,136249.5,10.5275,334925
2014,4,3142,51974.1,0.482751986,136308.6667,10.6,337833.3333
2014,5,3134,51974.1,0.482751986,136367.8333,10.6725,340741.6667
2014,6,3061,51974.1,0.482751986,136427,10.745,343650
2014,7,3580,54965.93333,0.467066268,136486.1667,10.8175,346558.3333
2014,8,3730,54965.93333,0.467066268,136545.3333,10.89,349466.6667
2014,9,3315,54965.93333,0.467066268,136604.5,10.9625,352375
2014,10,3488,60063.43333,0.454429012,136663.6667,11.035,355283.3333
2014,11,3240,60063.43333,0.454429012,136722.8333,11.1075,358191.6667
2014,12,3193,60063.43333,0.454429012,136782,11.18,361100
2015,1,3246,50197.93333,0.547804093,136838.6667,11.25666667,364341.6667
2015,2,3493,50197.93333,0.547804093,136895.3333,11.33333333,367583.3333
2015,3,3670,50197.93333,0.547804093,136952,11.41,370825
2015,4,3579,55958.16667,0.505585422,137008.6667,11.48666667,374066.6667
2015,5,3541,55958.16667,0.505585422,137065.3333,11.56333333,377308.3333
2015,6,3404,55958.16667,0.505585422,137122,11.64,380550
2015,7,3915,58601.26667,0.494673039,137178.6667,11.71666667,383791.6667
2015,8,4165,58601.26667,0.494673039,137235.3333,11.79333333,387033.3333
2015,9,3672,58601.26667,0.494673039,137292,11.87,390275
2015,10,3855,63906.93333,0.479039833,137348.6667,11.94666667,393516.6667
2015,11,3498,63906.93333,0.479039833,137405.3333,12.02333333,396758.3333
2015,12,3500,63906.93333,0.479039833,137462,12.1,400000
2016,1,3736,53655.76667,0.567005845,137529.4167,12.125,403666.6667
2016,2,3898,53655.76667,0.567005845,137596.8333,12.15,407333.3333
2016,3,3894,53655.76667,0.567005845,137664.25,12.175,411000
2016,4,4000,59959.56667,0.52030674,137731.6667,12.2,414666.6667
2016,5,3897,59959.56667,0.52030674,137799.0833,12.225,418333.3333
2016,6,3800,59959.56667,0.52030674,137866.5,12.25,422000
2016,7,4353,63112.53333,0.507856337,137933.9167,12.275,425666.6667
2016,8,4642,63112.53333,0.507856337,138001.3333,12.3,429333.3333
2016,9,4169,63112.53333,0.507856337,138068.75,12.325,433000
2016,10,4374,69959.06667,0.487695186,138136.1667,12.35,436666.6667
2016,11,3971,69959.06667,0.487695186,138203.5833,12.375,440333.3333
2016,12,4041,69959.06667,0.487695186,138271,12.4,444000
2017,1,4393,59801.13333,0.565726179,138332.4167,12.425,448675
2017,2,4279,59801.13333,0.565726179,138393.8333,12.45,453350
2017,3,4431,59801.13333,0.565726179,138455.25,12.475,458025
2017,4,4402,66392.6,0.521539047,138516.6667,12.5,462700
2017,5,4498,66392.6,0.521539047,138578.0833,12.525,467375
2017,6,4374,66392.6,0.521539047,138639.5,12.55,472050
2017,7,4860,69941.36667,0.509046864,138700.9167,12.575,476725
2017,8,5046,69941.36667,0.509046864,138762.3333,12.6,481400
2017,9,4655,69941.36667,0.509046864,138823.75,12.625,486075
2017,10,4883,77449.66667,0.489477037,138885.1667,12.65,490750
2017,11,4646,77449.66667,0.489477037,138946.5833,12.675,495425
2017,12,4666,77449.66667,0.489477037,139008,12.7,500100
2018,1,4647,65973.33333,0.567042239,139073.4167,12.73916667,504583.3333
2018,2,4843,65973.33333,0.567042239,139138.8333,12.77833333,509066.6667
2018,3,5140,65973.33333,0.567042239,139204.25,12.8175,513550
2018,4,5074,73098.46667,0.523732372,139269.6667,12.85666667,518033.3333
2018,5,5013,73098.46667,0.523732372,139335.0833,12.89583333,522516.6667
2018,6,4938,73098.46667,0.523732372,139400.5,12.935,527000
2018,7,5378,76498.5,0.514202675,139465.9167,12.97416667,531483.3333
2018,8,5657,76498.5,0.514202675,139531.3333,13.01333333,535966.6667
2018,9,5029,76498.5,0.514202675,139596.75,13.0525,540450
2018,10,5408,84532.86667,0.490879682,139662.1667,13.09166667,544933.3333
2018,11,5006,84532.86667,0.490879682,139727.5833,13.13083333,549416.6667
2018,12,5018,84532.86667,0.490879682,139793,13.17,553900
2019,1,5341,71144.26667,0.573093264,139857.4167,13.2,556388.0833
2019,2,5383,71144.26667,0.573093264,139921.8333,13.23,558876.1667
2019,3,5350,71144.26667,0.573093264,139986.25,13.26,561364.25
2019,4,5312,79166.76667,0.528107543,140050.6667,13.29,563852.3333
2019,5,5451,79166.76667,0.528107543,140115.0833,13.32,566340.4167
2019,6,5341,79166.76667,0.528107543,140179.5,13.35,568828.5
2019,7,5930,82288.36667,0.52329025,140243.9167,13.38,571316.5833
2019,8,6124,82288.36667,0.52329025,140308.3333,13.41,573804.6667
2019,9,5475,82288.36667,0.52329025,140372.75,13.44,576292.75
2019,10,5698,87677.23333,0.50376729,140437.1667,13.47,578780.8333
2019,11,5306,87677.23333,0.50376729,140501.5833,13.5,581268.9167
